Name,PublicKey,Balance,UTXO_Count
Patricija0,0x1d0f0b37c52dfd614501902212234ec01c57ee03,434718.28,6
Jokubas1,0x7af4c349fe11f42485ea0cb5c52baf4ad5327965,997228.72,8
Matas2,0xade6429b8558d363c896bd4b5a583dffec1f907c,4262.83,1
Laura3,0xc531ac7856751753fa19cbe77dd048d9de4e0162,85845.09,3
Margarita4,0xb189d4f2ae3f26fd1cb79b8a843eb707127692cd,517525.52,4
Paulius5,0x5ee38e80f66763365c74c524ba72a40d5db45a11,344133.79,8
Rasa6,0x4ec5a4715a7bce4ad8591db27b4ad62f59e6ff42,267338.73,4
Patricija7,0x3c3fd76983d4600209d91e836b7722ee25ab4189,647322.93,8
Egle8,0x0b49a2da8185644810fc1fc6bb9fb752f08a3117,295270.54,7
Ona9,0x4d5bbd5c0c753e3dc7f80c2c8678f20ae9e1ae9c,38810.56,1
Andrius10,0x826d9fa2d0c1011cc95d354c46cabc6744c77af6,667615.83,8
Matas11,0xd428a0b53a3381efdc5835fbf9e26831b0dae3f0,116226.16,4
Ona12,0x3195bca35b8a6cb2a0dcbe28a4bccfe5c30fa4f6,916390.40,9
Mantas13,0x62f301455af2334fda081a7843910f6c2a8943f1,468508.63,7
Tomas14,0xa84c3f9521e62c901e139d4a2502d91b427c3c9d,41610.24,1
Matas15,0xe6346d096422d80078b124cb1cae1601cf68549b,787877.48,8
Rokas16,0x74b54dcc65ddad662c11ac0298cb6efb38bb9d19,91408.16,2
Andrius17,0x40deb26afbd2207562ab88e80657f143c6838680,22065.73,1
Tomas18,0xd5523050fbcdeb631279f985e87e7c104fda2582,1253301.46,12
Andrius19,0x27d680cda2462fb7a0034a7e0d167750723606d0,429174.41,3
Rokas20,0x5d39b4f14c32e148e5a6b0c8c50ac60b875420da,644179.54,9
Tomas21,0xd8982710cbc04d980482e460909af67f563100d3,143084.48,2
Gabija22,0x6c7767244b20efcd19e9faafcdd4ddbd4dc50058,112994.81,2
Vytautas23,0xffbdbddc6861f26de0b9e009a546d939cb8df3cf,194336.95,5
Vytautas24,0xb79fd6259770e36f017be641b23a027b9046be05,1680413.91,12
Mantas25,0x4fe526246bf7c432e01d971245ea07b7253b2a31,175791.45,2
Patricija26,0x73e87f98ca996effe5e78f478f9a5dbdb4ec840e,49874.36,1
Jokubas27,0xfaa2db90551b8d98214c75ec156f47cd73980ecd,188744.52,2
Indre28,0x920c56cd247c054a6843affed5c2b4029f0bc28e,134612.53,3
Mantas29,0x5ec3913e7aef717370f9c25b7bbfdc98fdaf8692,1040435.22,9
Matas30,0x5af675c2d8c9405d589466378e8d46cba98b7933,336736.95,7
Vytautas31,0xc0419ce14c602079fa706764f3ff1d56916f4e5a,10796.99,1
Rasa32,0xe69bdf9e454a6bb788c00f77ecb57efcc3bacf93,19091.77,1
Indre33,0x5f8bc33fc792fd15a51fbb89bb0e7d508d6124c7,293213.89,2
Lukas34,0x865c6eb9ff76f09ab480f07068ad689728e941b2,465018.26,4
Matas35,0x019c8659fe61c5bb87dd960de484dd3763f001b8,317338.89,1
Lukas36,0xf08684a19385cb0896f0b88522cc37dbdc3b2410,46744.32,1
Mantas37,0xf30c13bd285e32fd3ce53e651eabf1f890ab36aa,215813.70,4
Vanesa38,0x64b23ccf5ea9ed46e428a1ac38d207677f36cc8b,759925.15,4
Vanesa39,0x2c35e0c07f18735d17840e69f2f7086737c9f67c,739796.18,9
Indre40,0x84ba87c56dba5d9c8e5bfb77d0aa42dd2b35cd3c,573601.81,6
Laura41,0xe9693bac5acb24c701db0bdcf626357a1c0feb9b,38247.78,3
Vanesa42,0xe887dc0e17e6e0e71d5160f62b8594a6cd955208,226644.83,5
Vanesa43,0xdbaab71c5e37d9f142e6fa9f31b4145d5b1c3346,371525.18,4
Tomas44,0xdf3bf33261cbfd5daeefbdf9b13c561a2c4dd468,5616.44,1
Matas45,0xfd6efa93d2e3fd7344806a5c9dc9048bb51e2c87,62136.83,2
Ona46,0xdbfa631858d0647facbe24285b40edf30304586a,621240.64,6
Tomas47,0x1d7a2d9853f12b7b87e1d2678a86830c58cfb41f,603424.28,8
Matas48,0x5e3ac891569fb54d1df58d59442beede7a3142ba,165179.01,3
Vytautas49,0x5d1d4248f31ce1cd4c7e9f0afb08f4cae8d3c686,681377.40,7
Indre50,0x78660e57597dc4b671c320324bfd104bff2a714a,67462.11,1
Egle51,0x1655e9e76b001f21e67b4c71e27d5df1b055cae1,102590.83,3
Marija52,0x6e5659d169d5ede136061e2d7008757c228c3302,753680.70,7
Tomas53,0x25706604e227e51e8c43b4cf6f3a816b64a63c03,405033.02,5
Lukas54,0x6d805b619009b727d0fa91b3c9ae63262da0ccc9,354835.59,4
Mantas55,0x545c62ac50647ad21690f5328f861f1b91549033,218436.00,4
Indre56,0x522399d7b6cb6f47542d599b5ef402226b1ac9b9,315288.60,3
Vytautas57,0x4e6b4bdd717fc421a83de79db7cd02ee0f328f47,197551.41,4
Paulius58,0x6c8d3f7887f85ec0a8ef193606cf212fd6b5b0c1,1145685.38,10
Lukas59,0xa28eafde59c255e7cdbb9970970110eac3abb62c,808618.18,8
Tomas60,0xb2a724c836a364312ae6d34ee04520d097041e15,401148.14,5
Rasa61,0x00f9c70186d8dc55476e0c8599be6e7ec70c37cc,205535.11,3
Laura62,0xe3abda207fcff3e7fab245f54ac5d15d5b518718,891787.91,6
Lukas63,0x8093da9aef7524d167eb472d111147c93a07be0b,934431.62,6
Mantas64,0xba9a593971f929bc249faa56869a2865162320f6,134818.53,3
Ona65,0x56cb5c66a0d2795df7c1532b5e8c050187307d56,298746.07,3
Rokas66,0xf8e8a50cc82a359e7005ac762db00eab5c2ca33c,528733.08,8
Vakare67,0xae600f884e0e702074ecf0cc569ed3639a19436b,195298.49,1
Paulius68,0xe5b239f71be061fab341d6fba5703e7535c8c77f,875919.48,7
Margarita69,0x8f946273bf0e607d66de8cbadc0c9f45fda88b68,123971.81,3
Rasa70,0x12b42d0c8d7efc9363b25c063506e9ad9a05bf2b,62755.76,1
Indre71,0x90b8472a0d4ed9756ee887b7e989819c85f94e04,667325.40,5
Egle72,0x7fb514770db6ad810af3a3357ebf2199b7a08fed,296660.83,3
Vytautas73,0xad565b2b7f65ff8f9abf20618009f861a05baaae,91707.97,1
Egle74,0xe52d13faaf42295378a26ce6da4b66dc7b7ef2ab,419467.86,5
Vytautas75,0xd104808aff89af6940eae6b96757c0d54d3b36eb,565577.91,5
Lukas76,0x3f38929914cc5a06ccccba21bb08d3a56a20df79,248271.95,5
Vakare77,0x8e2c62cd73b617cdafffdd839770586f7c3f61a0,164283.83,4
Vanesa78,0x08bdab28bf226447d34168ba79d951d57a04e342,781586.24,13
Margarita79,0x65adb76c6a6ab265cd73b7e68cd16bc70786fad8,711080.15,5
Indre80,0x27e22fef2c7470eddf74fc8ce4e0eab50c93035d,77421.51,3
Mantas81,0xb1f1b07d623e569115d0d0f2839e91c7e714eb02,895977.39,10
Ona82,0x00c361d683fa3d73abad0ebc5d8ffd2c147fe9e0,880111.30,9
Indre83,0x39100521b8fa4a2a6d5efe471d79f56ea898eaef,1267089.94,13
Rasa84,0x7e1a7a828cd341bb139827337cc2674c0b025eb0,424232.41,5
Ona85,0x31f2a58c4860dacfa5b3f90d817ba5a224024034,1281390.99,12
Margarita86,0x03537c7c3fe8ce4dd44fcaa1aa299a4cd0622550,13118.87,1
Laura87,0x9b86322271ebabdba18440512d550ba7cc55ebd3,431784.34,4
Lukas88,0xd6b205e925e7022692fa62ba9b0272e90732d92b,570721.28,2
Vytautas89,0x228f2f166e689fffac0db75f036f8a9f927ddf5e,903794.43,10
Paulius90,0x92d7297fbcd9f46e4e85395ec5761f8eaee020bd,69574.56,2
Ona91,0x510c1cb537f1a8f3c4dff75f3d0f70836a0f75af,418391.99,4
Gabija92,0x0aa665764b2b5a93e8420bb03e7671fc9859c2b2,470321.41,6
Gabija93,0x6718056c7cfcfcb61fd3929d96146bf81c16a3e4,25589.34,1
Matas94,0x39e6ee8cb63de2ee527c79bd9b996008ff3384fa,128311.59,1
Vytautas95,0x79ba008068510c58a6fa70ff36fe9373fea7308d,1112932.02,11
Ona96,0xb4ab6166cd5891a3f2b131b02a2f21900d6674de,102943.11,1
Egle97,0x47a1a1564bb20e21d42f637425aa7c01e7b5f9c1,353380.50,6
Mantas98,0xa346b1a68b9dd6e67286d276d06e6d78855dc2ee,1390703.65,8
Vakare99,0x8dde891e81687e4f6e70cdd7ea039a17268cb6dc,826534.49,10
Ona100,0x437b2d05dd5dca20fcf448fa1ae6f4cc31baa8f6,164711.62,2
Vakare101,0x60b2a065cbd182fc7f684582540ccb93ca5413d1,214401.28,2
Marija102,0x9c1b928d36fdfcb6d811da5ec3b4857970d0b912,300964.77,2
Egle103,0xb7f4a4c7e8022d18715dd6206af0b87de9677dba,282835.85,3
Lukas104,0x13cf05fdd9273e73fc86152608a3dcd0fffec23c,811263.07,8
Lukas105,0x8278a204eef63ec406ac6dbd0bef9ecbef875cb1,230232.71,4
Paulius106,0x5dfc377e0caa1e22b29e6c089bdd9b88875eeb8f,750811.82,6
Margarita107,0xe1fb333edca505d4a4fa6b149eae3fb644ba6973,577012.59,8
Marija108,0x1464c296afb0f7354bdfaf12f7df182cd8b27211,325089.46,5
Gabija109,0x5b4e7e648a8f967f789a131736873ae59c18218a,948990.64,7
Tomas110,0xb38f4145ef129e15d340ddc3ef3ef27eb59b81e6,144727.21,2
Marija111,0x04d18ba6da8b365af09d72111f8b73116e7f409f,91666.76,2
Laura112,0xbc54c424d07b5c457e9c9f8b229e738850a2af15,157120.36,2
Tomas113,0x17817b1883f0bb6f3abdfd61d92dd713f3604933,325174.66,4
Vytautas114,0x8072bdba185d22092ab334c9515b006a27e0dce4,92970.09,3
Vytautas115,0xc2846ab2331022d7afb8e7857b116dd347debea7,165399.86,2
Rasa116,0x6f56539fb9bc5496011a6e3b60bc50c3ec9f7282,77168.49,3
Gabija117,0xb5f0625799bcdbd4a626183e45a8a8fad8c34282,903574.32,9
Indre118,0xbf7758159880e5f06dd1ac6c12ae3ac6107f2847,281954.67,4
Margarita119,0x04d02541a4e0a843682869bf57af0873952d5502,905332.49,9
Marija120,0x6d1b15da34cdae93ad101c43a076819ddf34a238,41715.66,1
Vakare121,0x9c7082b24355681845019621ae28dee13ba7d8f9,424331.01,4
Rokas122,0x758ebaf018aa6f4444ea590d9be1374d226b74e5,674688.06,5
Rasa123,0xebe470b45f1a91284a22208254775103ac9b73ac,1247206.38,11
Andrius124,0xb6ca5fc4eba5f745733cf78a295629d27a8c92af,35324.95,1
Tomas125,0x444037cd14d7fc72dcad528de087ccdeebf0f05d,162195.85,4
Paulius126,0xc85784b923864cdb3aa7ceda8d5f8f5f6261a747,435509.18,5
Jokubas127,0xe480a8dc699cdaea8a90fbac290942b1727b14f6,1039227.67,10
Rasa128,0xc3892c1677b65f04192ecd9d5c41f59865a5119b,200314.31,3
Vytautas129,0x75a7d3dfb307429bb6a195e2de036b40953d36d9,910428.13,7
Tomas130,0x832f2937fdbf49c22329f92a875b8f803281b4f7,87449.98,1
Paulius131,0x7115c2734a380a902027ad3c86b8fc054e8e507c,13603.29,2
Ona132,0x6cf7d5855a63d98ca977e58ec4a95d0ddf4e2cb2,34086.51,1
Marija133,0xaeeecb2e0907d7889afa6d6da5e6b5a7ed16808e,135533.39,2
Vytautas134,0x7b3384046d25e4569318dd1df3fd6fcdbce0470e,355721.33,5
Matas135,0xd0dc2d58eba30e7a66c01823e47160c31b74b7c4,1100731.37,9
Marija136,0xb849320ef957f9c9c6e64f914f2dd03b110878fb,1220593.50,11
Vakare137,0x23083d1ce0d804633b2bdc533c6180826fc524e8,1510283.12,12
Laura138,0xdf2c10070f4869835c65ad31d160a924758494f9,1494812.86,12
Egle139,0x8a3b382e142c5ba9edd54a829d4f30d0096cbba4,264068.94,2
Matas140,0x9afdef2cb6f399f600dcae3ab269c658fdc1f45b,585866.96,7
Rasa141,0xaf082e68fc19e4aaea337f99f393b5a478aa2b27,730029.26,4
Indre142,0xb081ff887e54963f488c6b17383f3d6476c973e8,1485708.77,10
Margarita143,0x427324b251032d9ec165abad342f57efb2744ad5,214477.13,4
Tomas144,0xb676c868b607abc2b468acfd5e9e8e1cd56d38a1,140749.05,4
Egle145,0x79dd0f18c80ee56c836987d4aea433ada040f269,340072.22,7
Jokubas146,0xdf30674b3af094d8a9f0c94468ff0374ca17859d,19885.33,1
Egle147,0x69523581160bdacaee8c3df6302e78de444678dd,51824.12,1
Laura148,0x7697183834a55efe3ad2fed04e2ee5c5b4e3cb3b,696316.61,5
Vytautas149,0xa2dfcd51d528f1dc9245471c76105e915aa7573f,1766.20,1
